"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","DataType","WaterStress","OpenDefecation","BasicWaterServices","BasicSanitationServices","SafeManagedWaterServices","SafeManagedSanitationServices","PopulationDensity","WaterProductivity"
"African Region",2000,0.04,22.74,0.7,10.68,"Historical",9.72499611927907,32.8754594129524,56.2606314113954,25.5792707349048,15.7240890344762,15.29002589752,77.9665313357609,26.081808629
"African Region",2001,0.04,22.66,0.7,10.62,"Historical",10.0726951241163,32.1405056661905,56.8915512648837,26.149801191619,16.0583011434762,15.56869548556,79.4786835983913,28.3511698312326
"African Region",2002,0.04,22.56,0.69,10.41,"Historical",10.4342041774884,31.3466123650476,57.5603276674419,26.7909226458571,16.448185324,15.9030541076,81.2120686877174,29.8325961841395
"African Region",2003,0.04,22.43,0.68,10.19,"Historical",10.6377752702326,30.5588058536905,58.2191847869767,27.4354666190238,16.8310775855238,16.24197593764,82.8727505988478,30.5087465766279
"African Region",2004,0.04,22.32,0.68,10.1,"Historical",10.7705906271163,29.7749748763095,58.8941827725581,28.1011107380476,17.327165559619,16.58857033124,84.3663011266304,33.5935226926512
"African Region",2005,0.04,22.27,0.68,10.06,"Historical",10.9004073156512,28.9927033249286,59.5719343718605,28.8358677144524,17.830862484619,17.01335889492,86.2152938894348,35.8844061346744
"African Region",2006,0.04,22.28,0.68,10.16,"Historical",11.0060801463953,28.2187715199048,60.2608141937209,29.5814553188333,18.3462653312381,17.4389681448,88.1617204339348,38.0062852628605
"African Region",2007,0.04,22.33,0.68,10.11,"Historical",11.0745538856744,27.4439469096905,60.9561381281395,30.3398417410952,18.907792812381,17.86386950564,90.1138437871522,40.7310196333256
"African Region",2008,0.03,22.37,0.68,9.95,"Historical",11.3250599919767,26.6704136415476,61.6562976437209,31.1053132080714,19.4762590477619,18.28787979964,92.2137151021522,44.1558561763488
"African Region",2009,0.03,22.38,0.68,9.81,"Historical",11.337547330814,25.902526127,62.3533086593023,31.8760928341905,20.0024960611429,18.70352286532,94.3375067863913,45.1447571125581
"African Region",2010,0.03,22.32,0.67,9.65,"Historical",11.4675968210465,25.1397557641429,63.0475610439535,32.6515895864048,20.5282612111429,19.08657079956,96.5575337470652,45.3410594277209
"African Region",2011,0.03,22.09,0.68,9.38,"Historical",11.5101247349302,24.3838943111429,63.7478397413953,33.4300177846667,21.2666223989524,19.5269206508,98.7348809083913,47.7512469929302
"African Region",2012,0.03,21.69,0.68,9.13,"Historical",11.6138817665814,23.6371232908571,64.4409423902326,34.2023708390238,22.0454413874762,19.95127966536,100.885353848761,50.9712281274651
"African Region",2013,0.03,21.2,0.68,8.87,"Historical",11.7101343537674,22.8960784265952,65.1303720727907,34.9783206381191,22.6464780514762,20.36902881516,103.108152227826,51.3881867410465
"African Region",2014,0.03,20.72,0.68,8.54,"Historical",12.0320834771628,22.1595488814524,65.8173913237209,35.7588453537619,23.1933965182857,20.78033415284,105.3483599455,53.0550447091395
"African Region",2015,0.03,20.33,0.68,8.26,"Historical",12.3628064656512,21.427581537381,66.5147792795349,36.5245989650714,23.7465036095238,21.18532931864,107.548777860891,52.1210307978372
"African Region",2016,0.03,19.98,0.68,8.06,"Historical",12.676668333093,20.7004482792857,67.2140870934884,37.2836357135238,24.2626394455238,21.587972006,109.68556322037,51.0407630431395
"African Region",2017,0.02,19.58,0.68,7.81,"Historical",12.8696058509535,19.9782844140238,67.9140206890698,38.0442567618333,24.7477718010952,21.98395681596,111.91140609587,50.9861366856047
"African Region",2018,0.02,19.27,0.67,7.53,"Historical",13.1425029552093,19.2604092995,68.5916416469767,38.7952158997143,25.2103468597619,22.34567973972,114.206748806891,50.928150293
"African Region",2019,0.02,19.13,0.67,7.25,"Historical",13.3200406056977,18.5494658906429,69.2468351451163,39.5465876040714,25.6525664560476,22.68340939016,116.54304196113,51.4266362735814
"African Region",2020,0.02,18.24,0.62,6.07,"Historical",13.5047730634419,17.8676387204762,69.8655587102326,40.2314262376905,26.0538854615238,23.0286829458,118.89039514437,49.3722290403953
"African Region",2021,0.02,18.14,0.61,5.36,"Historical",13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,26.341901802,23.31135824836,121.262494433696,50.7516621028837
"African Region",2022,0.0210104860383863,17.8815206451476,0.610501726866551,5.25156718999082,"Forecast",13.6690754444939,16.6457851586597,71.0815692108337,41.3846398068603,26.6578522628042,23.6019570919747,123.634593723022,50.8416055159386
"African Region",2023,0.0224761059584607,17.6023395222069,0.611108032929828,5.16417573127249,"Forecast",13.82396666739,16.087403233347,71.6943284872858,41.9599348590795,26.9967939553915,23.8994363758016,126.006693012348,50.9315489289935
"African Region",2024,0.0243150830277839,17.3060817858502,0.611807200037855,5.09403685351996,"Forecast",13.9943577271533,15.5548261151337,72.3099090803122,42.5444815639769,27.3546586257816,24.2028903188355,128.378792301674,51.0214923420484
"African Region",2025,0.0264591705268714,16.9957430626467,0.612583812875616,5.03798512669492,"Forecast",14.1717221586704,15.0428562773785,72.9280769150152,43.1371387952788,27.7280978896646,24.5115323823294,130.750891591,51.1114357551033
"African Region",2026,0.0288524194451569,16.6737754520713,0.613423153020701,4.9934222807074,"Forecast",14.3522239079562,14.5473430636256,73.5486173368832,43.7369061766099,28.114355852856,24.8246795720531,133.122990880326,51.2013791681582
"African Region",2027,0.0314493679478489,16.3421779696745,0.614312640507873,4.95823437240549,"Forecast",14.5341371355239,14.0649718301595,74.1713335005486,44.3429067209831,28.5111642713148,25.1417388070934,135.495090169652,51.2913225812131
"African Region",2028,0.0342132270061203,16.0025785039627,0.615242064689349,4.93070863812205,"Forecast",14.7166853867287,13.5930955588339,74.7960448922247,44.9543716115867,28.9166562623945,25.4621950831438,137.867189458978,51.381265994268
"African Region",2029,0.0371142681891427,15.6563036111463,0.616203362801012,4.90945950205876,"Forecast",14.8995193348691,13.1296003859367,75.4225859747304,45.5706268597541,29.3292952847211,25.7856011940479,140.239288748304,51.4712094073229
"African Region",2030,0.0401284645942887,15.3044361965135,0.617190267539733,4.89336610738861,"Forecast",15.0824818179712,12.6727982158275,76.0508049449331,46.1910816085795,29.7478166849434,26.1115688064583,142.61138803763,51.5611528203778
"Eastern Mediterranean Region",2000,0.06,15.2,0.83,5.57,"Historical",313.248728130143,12.5307511854118,79.0998408495238,75.0750310328571,65.3125393353846,54.076059011875,133.44745432019,34.13558968355
"Eastern Mediterranean Region",2001,0.06,15.06,0.82,5.31,"Historical",317.843334160143,12.2096439493529,79.397890907619,75.3777135952381,65.4762287592308,54.277452708125,137.277848742095,34.1800789566
"Eastern Mediterranean Region",2002,0.05,14.93,0.81,5.07,"Historical",323.524318301095,11.8425359566471,79.8046724247619,75.8251792247619,65.7075710053846,54.51462125625,142.81737351981,34.33949004675
"Eastern Mediterranean Region",2003,0.05,14.81,0.81,4.84,"Historical",327.694835843476,11.3936536292941,80.2688928366667,76.3573636504762,65.9379402730769,54.776987961875,147.995487005333,36.42913441125
"Eastern Mediterranean Region",2004,0.05,14.73,0.8,4.7,"Historical",344.64885773919,10.9411838227647,80.7326084942857,76.9064913080952,66.1734929446154,55.086055134375,153.48496085419,38.6874363449
"Eastern Mediterranean Region",2005,0.05,14.66,0.78,4.44,"Historical",361.856824913476,10.4649216388235,81.241702752381,77.5667710633333,66.4488490923077,55.450427325,159.483336487238,40.05499801205
"Eastern Mediterranean Region",2006,0.05,14.67,0.77,4.3,"Historical",369.535424714429,9.99192684988235,81.7727275266667,78.2258987452381,66.8902566392308,55.859069815,167.458625355048,44.1421486134
"Eastern Mediterranean Region",2007,0.04,14.75,0.76,4.17,"Historical",374.349002729667,9.64684101382353,82.2325674909524,78.824666637619,67.3307979138462,56.248126288125,175.732820250238,47.77748448165
"Eastern Mediterranean Region",2008,0.04,14.88,0.75,4.04,"Historical",379.063835145857,9.15256089005882,82.7943998190476,79.50004115,67.94349613,56.71056947375,182.813007334048,51.5053716379
"Eastern Mediterranean Region",2009,0.04,14.95,0.74,3.85,"Historical",383.484488808238,8.66370663317647,83.3560176133333,80.1748645219048,68.6391959946154,57.233116998125,191.002834208429,53.0088075635
"Eastern Mediterranean Region",2010,0.04,14.93,0.73,3.61,"Historical",388.101091757762,8.17951774805882,83.9181985904762,80.8499168942857,69.3401549738462,57.75936453625,196.493755376143,57.5064007451
"Eastern Mediterranean Region",2011,0.04,14.76,0.72,3.26,"Historical",392.072995708238,7.70049410076471,84.4746331247619,81.5223305514286,70.0536810246154,58.289409715,196.699968985619,61.6475087778
"Eastern Mediterranean Region",2012,0.04,14.46,0.72,3.15,"Historical",397.69536000919,7.26292105352941,85.028170072381,82.1746540195238,70.7902815053846,58.80446933875,200.778249203857,63.73757027165
"Eastern Mediterranean Region",2013,0.04,14.11,0.71,3.09,"Historical",402.108690551095,6.82963424223529,85.5770666128571,82.8257008666667,71.4910978723077,59.360403770625,208.945668264048,65.61753111655
"Eastern Mediterranean Region",2014,0.03,13.74,0.71,2.92,"Historical",405.651544748238,6.40061728764706,86.1247238109524,83.4686099561905,72.1929632761538,59.92241730875,218.845815679381,67.82386522325
"Eastern Mediterranean Region",2015,0.03,13.45,0.7,2.8,"Historical",410.824593421571,5.97587643470588,86.6746955509524,84.1012561409524,72.8579627015385,60.497655965,225.417230875619,71.3301827045
"Eastern Mediterranean Region",2016,0.03,13.16,0.7,2.67,"Historical",417.91852618919,5.55533752376471,87.2234287428571,84.7287387523809,73.4377820646154,61.1209923725,230.901201599095,73.626982263
"Eastern Mediterranean Region",2017,0.03,12.79,0.69,2.57,"Historical",431.476360421095,5.15315946558824,87.7706784114286,85.3526942976191,73.9384155238461,61.766517295625,237.240239591619,73.2498499563
"Eastern Mediterranean Region",2018,0.03,12.43,0.68,2.4,"Historical",433.747064150143,4.76545783223529,88.3643420980952,85.9552640819048,74.4369599146154,62.41376354625,239.34278170081,74.0930436007
"Eastern Mediterranean Region",2019,0.03,12.14,0.67,2.28,"Historical",433.308365340619,4.40762994423529,88.8547814547619,86.5173028080952,74.8320028076923,63.05030538875,239.682212509095,74.57636015315
"Eastern Mediterranean Region",2020,0.03,11.07,0.62,1.72,"Historical",431.253740068714,4.06791453382353,89.3134692133333,86.9488601957143,75.20041739,63.580784138125,240.516440190619,70.9308024981
"Eastern Mediterranean Region",2021,0.02,10.96,0.6,1.49,"Historical",430.398791680619,3.78614193258824,89.7219293947619,87.2359410657143,75.4674489861539,63.877665955625,242.710988120476,73.41091647025
"Eastern Mediterranean Region",2022,0.0203866251650752,10.8252282135177,0.597816735224327,1.36138725566757,"Forecast",434.419780415105,3.46618372097632,90.1360938279666,87.4697052765328,75.6945741745207,63.9669059687086,246.979823360269,75.2811701267552
"Eastern Mediterranean Region",2023,0.0205309540200479,10.7225642282328,0.594126448353159,1.19624309657206,"Forecast",439.859849182032,3.12061412931913,90.5551658190604,87.6964956883618,75.8591578942832,63.9052464594996,252.069331102141,77.1514237832603
"Eastern Mediterranean Region",2024,0.0208582358364089,10.6324599716015,0.590658680415619,1.02259253957781,"Forecast",445.29991794896,2.75786678977856,90.9784599457439,87.9165203479002,75.9880231362314,63.7339237449831,257.158838844013,79.0216774397655
"Eastern Mediterranean Region",2025,0.0214111297439264,10.5464470545608,0.587445001987954,0.846935001969926,"Forecast",450.739986715887,2.3835982037521,91.405386516372,88.1299810952684,76.076590898232,63.4829054925642,262.248346585886,80.8919310962706
"Eastern Mediterranean Region",2026,0.0221327555766095,10.4633481737596,0.584443976710989,0.669630927548804,"Forecast",456.180055482815,2.00160222985794,91.8354381995718,88.3370737491672,76.1379617130521,63.173970104277,267.337854327758,82.7621847527758
"Eastern Mediterranean Region",2027,0.0230188944378977,10.3801168985134,0.581651752594106,0.492866263301505,"Forecast",461.620124249743,1.61442343799949,92.2681785212571,88.5379882865126,76.1732690537046,62.8229445975783,272.42736206963,84.6324384092809
"Eastern Mediterranean Region",2028,0.0240314864220263,10.2965156180907,0.57903930380539,0.316508910029184,"Forecast",467.06019301667,1.22376849061337,92.7032319682265,88.732909016711,76.1897406601549,62.4413309403894,277.516869811502,86.5026920657861
"Eastern Mediterranean Region",2029,0.0251543232706551,10.2116868251915,0.576593017601299,0.14107549044247,"Forecast",472.500261783597,0.830782059209113,93.1402754739596,88.9220147507365,76.1898534047825,62.0374879575127,282.606377553375,88.3729457222912
"Eastern Mediterranean Region",2030,0.0263610510239457,10.1258281301178,0.57429156897243,0,"Forecast",477.940330550525,0.436231883696303,93.5790310935631,89.1054789651632,76.1780025477963,61.6174902574459,287.695885295247,90.2431993787964
"European Region",2000,0,5.69,0.33,0.18,"Historical",32.229368902913,0.115898870204082,95.594829352,95.0463541916327,84.0642691761225,71.9940627740909,446.285263750333,81.5320942041064
"European Region",2001,0,5.77,0.33,0.17,"Historical",31.4799084785217,0.112141249734694,95.7123701276,95.1100716261224,84.2776091767347,72.2543704061364,446.816138967353,84.6437266558511
"European Region",2002,0,5.87,0.33,0.16,"Historical",31.3363835814783,0.106556413387755,95.848353635,95.1999740942857,84.5241240102041,72.5385968247727,447.273609550235,87.5369510062128
"European Region",2003,0,5.99,0.32,0.15,"Historical",31.7618630885435,0.100903623081633,95.9842156878,95.2832593165306,84.7773066410204,72.8125218056818,447.600123554353,88.7515361898511
"European Region",2004,0,6.1,0.32,0.14,"Historical",31.4939924305435,0.0952067906938776,96.1108659972,95.3811100197959,85.1891830091837,73.189409735,448.239302749078,95.1139036925745
"European Region",2005,0,6.19,0.31,0.13,"Historical",31.5837778392174,0.0892033784081633,96.2464351548,95.5063528746939,85.7377391930612,73.5772298106818,448.109038799196,98.4349330888511
"European Region",2006,0,6.28,0.31,0.13,"Historical",31.1017769374348,0.0832548104693877,96.3826895134,95.6321639312245,86.2883660306122,73.9947951934091,447.339332112549,105.520298374936
"European Region",2007,0,6.37,0.31,0.13,"Historical",30.5255290740217,0.0773643629387755,96.5186509398,95.7565802002041,86.8395602332653,74.4118850793182,446.182186205686,117.870561152191
"European Region",2008,0,6.46,0.31,0.12,"Historical",30.8319598808261,0.0715330259591837,96.6542967186,95.8807485902041,87.3865168469388,74.8441503309091,447.072214861961,117.753286319426
"European Region",2009,0,6.53,0.31,0.12,"Historical",30.1855173487174,0.0657625695714286,96.7896577752,96.005533455102,87.9311740565306,75.3437833193182,453.393113543431,113.466676824468
"European Region",2010,0,6.57,0.31,0.12,"Historical",30.177064768413,0.0601757036326531,96.9203823788,96.1298272761225,88.4927824444898,75.8541707065909,461.645203074118,114.219481557532
"European Region",2011,0,6.54,0.31,0.11,"Historical",30.0049317657391,0.0546551015306122,97.0507810944,96.2540460542857,89.0204886840816,76.3882910965909,469.433827108176,118.437571662596
"European Region",2012,0,6.46,0.31,0.11,"Historical",29.9842098797609,0.049198614244898,97.179404803,96.3784609997959,89.4749081487755,76.9368719497727,477.793683300039,122.172646921298
