Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412
"Population, total",SP.POP.TOTL,Albania,ALB,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099
"Population, total",SP.POP.TOTL,American Samoa,ASM,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225
"Population, total",SP.POP.TOTL,Andorra,AND,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364
"Population, total",SP.POP.TOTL,Angola,AGO,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349
"Population, total",SP.POP.TOTL,Argentina,ARG,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281
"Population, total",SP.POP.TOTL,Armenia,ARM,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300
"Population, total",SP.POP.TOTL,Aruba,ABW,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700
"Population, total",SP.POP.TOTL,Australia,AUS,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412
"Population, total",SP.POP.TOTL,Austria,AUT,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373
"Population, total",SP.POP.TOTL,Bahrain,BHR,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365
"Population, total",SP.POP.TOTL,Bangladesh,BGD,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854
