"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level.of.water.stress..freshwater.withdrawal.as.a.proportion.of.available.freshwater.resources","People.practicing.open.defecation....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","People.using.at.least.basic.sanitation.services....of.population.","People.using.safely.managed.drinking.water.services....of.population.","People.using.safely.managed.sanitation.services....of.population.","Population.density..people.per.sq..km.of.land.area.","Population..total","Water.productivity..total..constant.2015.US..GDP.per.cubic.meter.of.total.freshwater.withdrawal.","People.with.basic.handwashing.facilities.including.soap.and.water....of.population.","logDiarrheaRate","logTyphoidRate","logHepatitisRate","logUnsafeRisk","Data_Type"
"African Region","2000",0.04,22.74,0.7,10.68,9.72499611927907,32.8754594129524,56.2606314113954,25.5792707349048,15.7240890344762,15.29002589752,77.9665313357609,14369649.8297872,26.081808629,9.2613819735,3.12412548832239,-3.2188758248682,-0.356674943938732,2.36837283353205,"Historical"
"African Region","2001",0.04,22.66,0.7,10.62,10.0726951241163,32.1405056661905,56.8915512648837,26.149801191619,16.0583011434762,15.56869548556,79.4786835983913,14749032.8297872,28.3511698312326,9.548827301,3.12060125559986,-3.2188758248682,-0.356674943938732,2.36273901581379,"Historical"
"African Region","2002",0.04,22.56,0.69,10.41,10.4342041774884,31.3466123650476,57.5603276674419,26.7909226458571,16.448185324,15.9030541076,81.2120686877174,15141153.1489362,29.8325961841395,9.845010353,3.11617842662986,-3.2188758248682,-0.371063681390832,2.34276688262688,"Historical"
"African Region","2003",0.04,22.43,0.68,10.19,10.6377752702326,30.5588058536905,58.2191847869767,27.4354666190238,16.8310775855238,16.24197593764,82.8727505988478,15546526.7446809,30.5087465766279,10.1558790975,3.11039934853212,-3.2188758248682,-0.385662480811985,2.32140684723463,"Historical"
"African Region","2004",0.04,22.32,0.68,10.1,10.7705906271163,29.7749748763095,58.8941827725581,28.1011107380476,17.327165559619,16.58857033124,84.3663011266304,15966889.2553191,33.5935226926512,10.4675168425,3.10548313751311,-3.2188758248682,-0.385662480811985,2.31253542384721,"Historical"
"African Region","2005",0.04,22.27,0.68,10.06,10.9004073156512,28.9927033249286,59.5719343718605,28.8358677144524,17.830862484619,17.01335889492,86.2152938894348,16401440.212766,35.8844061346744,10.9746379376667,3.10324048126928,-3.2188758248682,-0.385662480811985,2.30856716467159,"Historical"
"African Region","2006",0.04,22.28,0.68,10.16,11.0060801463953,28.2187715199048,60.2608141937209,29.5814553188333,18.3462653312381,17.4389681448,88.1617204339348,16849466.7446809,38.0062852628605,11.4824402506667,3.10368941505908,-3.2188758248682,-0.385662480811985,2.31845844215034,"Historical"
"African Region","2007",0.04,22.33,0.68,10.11,11.0745538856744,27.4439469096905,60.9561381281395,30.3398417410952,18.907792812381,17.86386950564,90.1138437871522,17312076.212766,40.7310196333256,11.985576744,3.10593106585207,-3.2188758248682,-0.385662480811985,2.31352503303238,"Historical"
"African Region","2008",0.03,22.37,0.68,9.95,11.3250599919767,26.6704136415476,61.6562976437209,31.1053132080714,19.4762590477619,18.28787979964,92.2137151021522,17791207.8510638,44.1558561763488,12.4852991433333,3.10772077550204,-3.50655789731998,-0.385662480811985,2.2975725511705,"Historical"
"African Region","2009",0.03,22.38,0.68,9.81,11.337547330814,25.902526127,62.3533086593023,31.8760928341905,20.0024960611429,18.70352286532,94.3375067863913,18283136.6595745,45.1447571125581,12.9858555808333,3.10816770288378,-3.50655789731998,-0.385662480811985,2.28340227357727,"Historical"
