"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Series.Name","AvgValue"
"Region of the Americas",2000,0,5.88,0.38,1,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.0880109911111
"Region of the Americas",2000,0,5.88,0.38,1,"People practicing open defecation (% of population)",8.2523463257037
"Region of the Americas",2000,0,5.88,0.38,1,"People using at least basic drinking water services (% of population)",88.6754529607407
"Region of the Americas",2000,0,5.88,0.38,1,"People using at least basic sanitation services (% of population)",77.1069348603571
"Region of the Americas",2000,0,5.88,0.38,1,"People using safely managed drinking water services (% of population)",61.4906999207143
"Region of the Americas",2000,0,5.88,0.38,1,"People using safely managed sanitation services (% of population)",41.6965701029412
"Region of the Americas",2000,0,5.88,0.38,1,"Population density (people per sq. km of land area)",122.245450018278
"Region of the Americas",2000,0,5.88,0.38,1,"Population, total",23129104.3055556
"Region of the Americas",2000,0,5.88,0.38,1,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",33.7134906130769
"Region of the Americas",2001,0,5.81,0.38,0.94,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.2760507239259
"Region of the Americas",2001,0,5.81,0.38,0.94,"People practicing open defecation (% of population)",7.92771511111111
"Region of the Americas",2001,0,5.81,0.38,0.94,"People using at least basic drinking water services (% of population)",89.0679045981481
"Region of the Americas",2001,0,5.81,0.38,0.94,"People using at least basic sanitation services (% of population)",77.6197650535714
"Region of the Americas",2001,0,5.81,0.38,0.94,"People using safely managed drinking water services (% of population)",61.8516584357143
"Region of the Americas",2001,0,5.81,0.38,0.94,"People using safely managed sanitation services (% of population)",41.9327477176471
"Region of the Americas",2001,0,5.81,0.38,0.94,"Population density (people per sq. km of land area)",123.212556683889
"Region of the Americas",2001,0,5.81,0.38,0.94,"Population, total",23419176.8888889
"Region of the Americas",2001,0,5.81,0.38,0.94,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",32.2710316985769
"Region of the Americas",2002,0,5.74,0.38,0.89,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.4935187621111
"Region of the Americas",2002,0,5.74,0.38,0.89,"People practicing open defecation (% of population)",7.60706427037037
"Region of the Americas",2002,0,5.74,0.38,0.89,"People using at least basic drinking water services (% of population)",89.4909483188889
"Region of the Americas",2002,0,5.74,0.38,0.89,"People using at least basic sanitation services (% of population)",78.1401000089286
"Region of the Americas",2002,0,5.74,0.38,0.89,"People using safely managed drinking water services (% of population)",62.1922261707143
