"Region","Year","DataType","WaterStress","OpenDefecation","BasicWaterServices","BasicSanitationServices","SafeManagedWaterServices","SafeManagedSanitationServices","PopulationDensity","WaterProductivity"
"African Region",2022,"Forecast",13.6690754444939,16.6457851586597,71.0815692108337,41.3846398068603,26.6578522628042,23.6019570919747,123.634593723022,50.8416055159386
"African Region",2023,"Forecast",13.82396666739,16.087403233347,71.6943284872858,41.9599348590795,26.9967939553915,23.8994363758016,126.006693012348,50.9315489289935
"African Region",2024,"Forecast",13.9943577271533,15.5548261151337,72.3099090803122,42.5444815639769,27.3546586257816,24.2028903188355,128.378792301674,51.0214923420484
"African Region",2025,"Forecast",14.1717221586704,15.0428562773785,72.9280769150152,43.1371387952788,27.7280978896646,24.5115323823294,130.750891591,51.1114357551033
"African Region",2026,"Forecast",14.3522239079562,14.5473430636256,73.5486173368832,43.7369061766099,28.114355852856,24.8246795720531,133.122990880326,51.2013791681582
"African Region",2027,"Forecast",14.5341371355239,14.0649718301595,74.1713335005486,44.3429067209831,28.5111642713148,25.1417388070934,135.495090169652,51.2913225812131
"African Region",2028,"Forecast",14.7166853867287,13.5930955588339,74.7960448922247,44.9543716115867,28.9166562623945,25.4621950831438,137.867189458978,51.381265994268
"African Region",2029,"Forecast",14.8995193348691,13.1296003859367,75.4225859747304,45.5706268597541,29.3292952847211,25.7856011940479,140.239288748304,51.4712094073229
"African Region",2030,"Forecast",15.0824818179712,12.6727982158275,76.0508049449331,46.1910816085795,29.7478166849434,26.1115688064583,142.61138803763,51.5611528203778
"Eastern Mediterranean Region",2022,"Forecast",434.419780415105,3.46618372097632,90.1360938279666,87.4697052765328,75.6945741745207,63.9669059687086,246.979823360269,75.2811701267552
"Eastern Mediterranean Region",2023,"Forecast",439.859849182032,3.12061412931913,90.5551658190604,87.6964956883618,75.8591578942832,63.9052464594996,252.069331102141,77.1514237832603
"Eastern Mediterranean Region",2024,"Forecast",445.29991794896,2.75786678977856,90.9784599457439,87.9165203479002,75.9880231362314,63.7339237449831,257.158838844013,79.0216774397655
"Eastern Mediterranean Region",2025,"Forecast",450.739986715887,2.3835982037521,91.405386516372,88.1299810952684,76.076590898232,63.4829054925642,262.248346585886,80.8919310962706
